0, 79.12087912087911
1, 827.8388278388278
2, 24268.131868131866
3, 23558.974358974356
4, 23432.96703296703
5, 24171.42857142857
6, 24294.505494505494
7, 24353.11355311355
8, 24360.439560439558
9, 23972.16117216117
10, 23844.688644688642
11, 23872.527472527472
12, 23907.692307692305
13, 23942.85714285714
14, 23985.347985347984
15, 23958.974358974356
16, 23944.322344322343
17, 23948.717948717946
18, 23915.018315018315
19, 23866.666666666664
20, 23831.50183150183
21, 23783.15018315018
22, 23787.545787545787
23, 23821.24542124542
24, 23783.15018315018
25, -305642.4908424908
26, 23834.43223443223
27, 23769.963369963367
28, 23765.567765567765
29, 23759.706959706957
30, 23749.450549450547
31, 23920.87912087912
32, 23827.106227106226
33, 23806.593406593405
34, 23866.666666666664
35, 23853.47985347985
36, 23730.402930402928
37, 23327.472527472524
38, 23380.219780219777
39, 23403.663003663
40, 23430.03663003663
41, 23460.80586080586
42, 23447.619047619046
43, 23471.06227106227
44, 23498.901098901097
45, 23468.131868131866
46, 23459.340659340658
47, 23471.06227106227
48, 23425.641025641024
49, 23462.271062271062
50, 23447.619047619046
51, 23418.315018315017
52, 23431.50183150183
53, 23454.945054945052
54, -305642.4908424908
55, 23950.183150183148
56, 23789.01098901099
57, 23739.194139194136
58, 23761.17216117216
59, 23786.080586080585
60, 23802.1978021978
61, 23560.439560439558
62, 23572.16117216117
63, 23536.996336996337
64, 23567.765567765568
65, 23541.39194139194
66, 23520.87912087912
67, 23567.765567765568
68, 23554.578754578753
69, 23545.787545787545
70, 23466.666666666664
71, 23405.128205128203
72, 23435.897435897434
73, 23409.52380952381
74, 23421.24542124542
75, 23459.340659340658
76, 23450.54945054945
77, 23403.663003663
78, 23437.362637362636
79, 23419.78021978022
80, 23430.03663003663
81, 23432.96703296703
82, 23421.24542124542
83, 23441.75824175824
84, 23466.666666666664
85, 23522.34432234432
86, 23535.531135531135
87, 23572.16117216117
88, 23548.717948717946
89, 23532.60073260073
90, 23534.065934065933
91, 23500.3663003663
92, 23513.553113553113
93, 23558.974358974356
94, -305642.4908424908
95, 23515.018315018315
96, 23506.227106227103
97, 23569.230769230766
98, 23569.230769230766
99, 23575.091575091574
100, 23544.322344322343
101, 23509.157509157507
102, 23554.578754578753
103, 23551.64835164835
104, 23550.183150183148
105, 23561.90476190476
106, 23580.952380952378
107, 23601.4652014652
108, 23588.278388278388
109, 23620.51282051282
110, 23621.97802197802
111, 23654.21245421245
112, 23639.56043956044
113, 23721.61172161172
114, 23690.84249084249
115, 23679.120879120877
116, 23747.98534798535
117, 23682.05128205128
118, 23730.402930402928
119, 23774.358974358973
120, 23742.12454212454
121, 23781.68498168498
122, 23783.15018315018
123, 23781.68498168498
124, 23768.49816849817
125, 23847.619047619046
126, 23800.732600732597
127, 23809.52380952381
128, 23815.384615384613
129, 23837.362637362636
130, 196273.99267399267
131, 23881.31868131868
132, 23916.483516483513
133, 23906.227106227103
134, 23916.483516483513
135, 23944.322344322343
136, 23947.252747252747
137, 23978.021978021978
138, 24054.21245421245
139, 24039.56043956044
140, 24070.32967032967
141, 24096.703296703294
142, 24046.886446886445
143, 24108.424908424906
144, 24133.333333333332
145, 24114.285714285714
146, 24146.520146520146
147, 24171.42857142857
148, 24194.871794871793
149, 24186.080586080585
150, 24218.315018315017
151, 24247.619047619046
152, 24262.271062271062
153, 24295.970695970693
154, 24369.230769230766
155, 24394.139194139192
156, 24435.164835164833
157, 24512.82051282051
158, 24539.194139194136
159, 24553.846153846152
160, 24602.1978021978
161, 24668.131868131866
162, 24672.527472527472
163, 24681.31868131868
164, 24717.948717948715
165, 24761.90476190476
166, 24788.278388278388
167, 24842.490842490843
168, 24808.79120879121
169, 24861.53846153846
170, 24874.72527472527
171, 24899.633699633698
172, 24912.82051282051
173, 24950.91575091575
174, 24931.86813186813
175, 24906.959706959704
176, 24934.798534798534
177, 24949.450549450547
178, 24931.86813186813
179, 25002.1978021978
180, 25024.17582417582
181, 25024.17582417582
182, 25012.45421245421
183, 25012.45421245421
184, 25015.384615384613
185, 24969.963369963367
186, 24934.798534798534
187, 24934.798534798534
188, 24852.747252747253
189, 24864.46886446886
190, 24858.608058608057
191, 23658.608058608057
192, 2559.7069597069594
193, 2455.6776556776554
194, 2222.7106227106224
195, 2152.3809523809523
196, 2293.040293040293
197, 2325.274725274725
198, 25907.692307692305
199, 26446.886446886445
200, 26501.0989010989
201, 26463.003663003663
202, 26397.069597069596
203, 26435.164835164833
204, 26398.534798534798
205, 26328.205128205125
206, 26322.34432234432
207, 26347.252747252747
208, 26364.835164835164
209, 26360.439560439558
210, -305642.4908424908
211, 26378.021978021978
212, 2376.556776556776
213, 24483.516483516483
214, 24152.38095238095
215, 24209.52380952381
216, 24254.945054945052
217, -305642.4908424908
218, 24370.695970695968
219, 24405.860805860804
220, 2826.3736263736264
221, 2630.03663003663
222, 2657.875457875458
223, 2700.3663003663
224, 2713.5531135531132
225, 8940.65934065934
226, 27778.75457875458
227, 27056.410256410254
228, 27059.340659340658
229, 27034.43223443223
230, 27076.923076923074
231, 27119.413919413917
232, 27097.435897435895
233, 27119.413919413917
234, 27119.413919413917
235, 27093.040293040292
236, 27126.739926739923
237, 27154.578754578753
238, 27160.439560439558
239, 27150.183150183148
240, 27158.974358974356
241, 27185.347985347984
242, 27173.62637362637
243, 27192.67399267399
244, 27182.41758241758
245, 27205.860805860804
246, 27265.934065934063
247, 27271.79487179487
248, 27270.32967032967
249, 27261.53846153846
250, 27340.65934065934
251, 27333.333333333332
252, 27292.30769230769
253, 27340.65934065934
